Subj #,,Spr 9-10,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
70,,I spent time cooking a meal with my sisters and cousin which is more fun and enjoyable when you have others cook with you!,Mental,Community,Mental,Community,Mental,Community
71,,Played with a super cute tabby cat and bernedoodle puppy over the weekend!,Mental,,Mental,,Mental,
72,,I went to happy hour with my mom and caught up with her. ,Community,,Community,Physical,Community,Physical
73,,n/a,,,,,,
74,,I went on a hike with an old friend! ,Physical,Community,Physical,Community,Physical,Community
75,,I went on a walk today for 20 minutes,Physical,,Physical,,Physical,
76,,I took a nap.,Physical,,Physical,,Physical,
77,,I had a cold the last few days so I have been resting a lot. I took today off work and have been mostly napping and eating soup.,Physical,,Physical,,Physical,
78,,I went to a coffee shop to study today :),Environmental,Occupational,Environmental,Occupational,Environmental,Occupational
79,,I cooked oxtail for the first time in my instant pot pressure cooker and it was amazing.,Mental,,Mental,,Mental,
80,,Went to a coffee shop to study for finals. ,Physical,Occupational,Environmental,Occupational,Environmental,Occupational
81,,I will take a walk to University Village this Wednesday with my brother. ,Physical,Community,Community,Physical,Community,Physical
82,,n/a,,,,,,
83,,"For my self care, I took a break from studying by watching a disney movie to bring back the memories as a kid! I watched THE best disney movie of all time: Toy Story 2.",Mental,,Mental,,Mental,
84,,"As the last week of our first year of Pharmacy school is coming to an end, I gave myself this time to reflect and just appreciate the amazing year. The good and the bad overall this year was more than what I have ever imagined and I am so grateful I had the opportunity to experience it with such genuine people. Also did a little retail therapy today to lessen the stress of finals week :) ",Emotional,Physical,Emotional,Mental,Emotional,Mental
85,,I went for a hike.,Physical,,Physical,,Physical,
86,,I connected with nature by going on a hike in Central Washington called Umtanum Ridge Crest Trail. It was very difficult but a lot of fun! [photo of landscape from the top of the ridge],Environmental,Physical,Physical,Environmental,Physical,Environmental
87,,For my health and well-being this week I am getting my nails done with my roommate before she goes on a trip at the end of this week! :) ,Mental,Community,Physical,Community,Physical,Community
88,,I am currently relaxing in a room at the Coeur d'Alene resort. Can't get much more self-caring than that:),Environmental,,Environmental,Mental,Environmental,
89,,Playing badminton at the IMA with my friends!,Physical,Environmental,Physical,Community,Physical,Community
90,,We have a busy schedule this week as it gets closer to final so I spent my flex time doing my homework while listening to standup comedy. It was somewhat relaxing and very productive at the same time! ,Mental,Occupational,Occupational,Mental,Occupational,Mental
91,,I had a tea party with friends and we ate lots of pastries!,Physical,Community,Physical,Community,Physical,Community
92,,I listened to music.,Emotional,,Emotional,,Emotional,
93,,I took a walk outside.,Physical,Environmental,Physical,Environmental,Physical,Environmental
94,,"Took a nap to rest and relax. Finals are coming up, I have been stressed and not been getting adequate sleep. ",Physical,,Physical,,Physical,
95,,Made breakfast and ran for 30 mins!!! ,Mental,Physical,Physical,,Mental,Physical
96,,Went to a concert with my friend from town!,Environmental,Community,Emotional,Community,Environmental,Community
97,,"As finals week is coming up, I have been taking the time to study as much as I can while also taking a bit of time to relax and watch a show that I am really interested in. This has been very helpful as it relieves some of my stress.",Occupational,,Mental,Occupational,Mental,Occupational
98,,I meditated ,Spiritual,,Spiritual,,Spiritual,
99,,"I went to exercise with my friends in IMA. IMA changed a lot, there’s not a lot of things to do there now.",Physical,Community,Community,Environmental,Community,Environmental
100,,I took a walk around the neighborhood to listen to the sounds of nature and enjoy the sunshine.,Physical,Environmental,Environmental,Physical,Physical,Environmental
101,,I watched a netflix movie as a way to destress. ,Mental,,Mental,,Mental,
102,,I am trying to revise for final and catch up but also thinking about summer and looking back to realize how much I learned and grow too,Occupational,,Occupational,Emotional,Occupational,Emotional
103,,I took a nap,Physical,,Physical,,Physical,
104,,I took my corvette for a spin around the neighborhood (-:,Physical,Environmental,Physical,,Physical,
105,,Spent 20 minutes doing yoga,Spiritual,,Physical,Spiritual,Spiritual,
106,,"This week, for health and wellness, I connected with the environment by going on a walk with my dogs.",Environmental,Physical,Environmental,Physical,Environmental,Physical
107,,I met a friend for lunch.,Physical,Community,Physical,Community,Physical,Community
108,,I started a new TV show with my partner ,Mental,Community,Mental,Community,Mental,Community
