Subj #,,Spr 5_6,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
27,,"For my health and wellness this week I took myself out for tacos. I know it doesn’t sound very exciting, but it just made my day. I haven’t had tacos in quite a while so I was way overdue. The place I go to is in Everett and it just fills me with beautiful memories. It is the first place my dad and I ate when we arrived to the Seattle area at the end of July 2021 (my dad drove with me from Chicago to Washington, then he flew back home). Food is comfort for us. Being somewhere new and so far away from home, it just made us so happy to have found a good taco place when we arrived. I always facetime my parents to show them my tacos! So, I guess it is more than tacos, it just makes me remember all the great memories that I made with my dad during our 4-day long road trip. Also, it reminds me how grateful I am to be where I am at today. Also, the fact that I can find the taco place without GPS is a win in my book! So yeah, tacos. Good stuff. [photo with caption: Favorite picture of my dad. He had never seen trees as tall as these. We found a Walmart in Everett, bought fishing poles, and went fishing!]",Physical,Environmental,Environmental,Community,Environmental,Community
28,,Went to my local gym after our class meeting.,Environmental,,Physical,Environmental,Environmental,
29,,I took a nap ,Physical,,Physical,,Physical,
30,,I will be facetiming a friend. ,Community,,Community,,Community,
31,,"Assessing Occupational Wellness: I opened my LinkedIn account and started searching some jobs opening as well as connecting with lots of professional people on LinkedIn; then, I recognized that there are so many talented, productive, amazing and hardworking people on this social platform. I review their profiles and really admire their works. They have achieved so many goals in their professional career. I also question myself how can they are so productive and passionate about things they do? What motivation to keep them going and working that hard? How can I connect with these people? so I can learn from them. Exploring a variety of profiles from different backgrounds and occupations truly inspires me to work harder, study harder, and I want to contribute my work, knowledge, and skills to the world. ",Occupational,,Occupational,Community,Occupational,Community
32,,I celebrated Eid with my friends and family. ,Community,,Spiritual,Community,Spiritual,Community
33,,I went to a concert o Sunday night. Saw a very favorite group with my closest friends. Much needed!!!,Environmental,Community,Community,Emotional,Environmental,Community
34,,I visited the Seattle Asian Art Museum in the Volunteer Park this weekend ,Environmental,,Environmental,Emotional,Environmental,
35,,"Having been sick, I have used this time to rest a lot and try to disregard other stressors (like school) in my life and eat well to heal up quick.",Physical,,Physical,,Physical,
36,,I had a chat with my childhood best friend about a book we are reading together. I also went down to the HUB and played pool with the pool club.,Community,Environmental,Community,Physical,Community,Physical
37,,I treated myself to a non-homemade dinner.,Physical,,Physical,,Physical,
38,,Had lunch with my parents ,Physical,Community,Community,Physical,Physical,Community
39,,After coming from WIP I went to my room put on some calm relaxing music and meditated for 20 minutes.,Emotional,Spiritual,Emotional,Spiritual,Emotional,Spiritual
40,,It was nice this week after my WIP training!  I walked through the park near the hospital and grabbed a coffee at the Starbucks.  Lots of people out walking their dogs in the park- only wihs I could've had mine with me too!! [photo],Physical,Environmental,Environmental,Physical,Physical,Environmental
41,,I ate lunch and worked on my assignments this week.,Physical,Occupational,Physical,Occupational,Physical,Occupational
42,,I actually used this time to edit some photos that I took last month and haven't got around to doing. Was therapeutic to take a break from studying. ,Mental,,Mental,,Mental,
43,,I played ukulele and sang.,Emotional,,Mental,Emotional,Mental,Emotional
44,,Recovering from COVID and fell into a nap in which I dissociated from reality ,Physical,,Physical,,Physical,
45,,Set aside an evening and went out for dinner with my friends. ,Physical,Community,Physical,Community,Physical,Community
46,,I spent time hiking and destressing from exams.,Physical,Environmental,Physical,Environmental,Physical,Environmental
47,,Today I went shopping with my little sister.,Mental,Community,Community,Mental,Mental,Community
48,,"I planned to take 30 minutes nap, and woke up an hour later",Physical,,Physical,,Physical,
49,,I spent 45 minutes listening to a podcast. ,Mental,,Mental,,Mental,
50,,I took a walk on the trail. I went to watch the sunset at Marina beach last Saturday. I went to sauna with my friends after our medchem midterm last Friday. ,Environmental,Community,Physical,Community,Environmental,Community
51,,Went to the gym!,Physical,Environmental,Physical,Environmental,Physical,Environmental
52,,I started learning a new song on the piano.,Emotional,,Mental,Emotional,Mental,Emotional
53,,"I was reading a book called ""Clarity and Connection"" by Yung Pueblo. It is a simple book of poetry with 256 pages talking about how intense emotions reflect in our subconscious and leads us to act in a certain way. I felt very connected and guided when I read the book because it helped me reflect on my relationships and myself and see where I can improve on. Also, the book is really more likely to self help and help me move through my healing. I would recommend this book to anyone who might be on the same journey of self-healing. ",Mental,Emotional,Mental,Emotional,Mental,Emotional
54,,"I invited my friend and talked for a long time about school, personal lives, plans, etc. It was very nice to get to know each other more and give each other support. ",Community,,Community,Occupational,Community,Occupational
55,,I got my ears pierced and my hair done. ,Physical,,Physical,,Physical,
56,,Went to Bellevue botanical garden and had a nice time walking around and smelling fresh flowers and plants,Environmental,Physical,Environmental,Physical,Environmental,Physical
57,,I reorganized my closet. ,Environmental,,Environmental,Mental,Environmental,Mental
58,,I hung out with my parents. ,Community,,Community,,Community,
59,,This week I went for a walk at the arboretum near campus. It was a really nice and sunny day and it helped to manage the stress I had going into a heavy exam week. It was a good way to start the week and the nice day and relaxing walk gave me motivation to study. I always feel less stressed and more productive with little breaks outside and exploring new parks.,Physical,Environmental,Environmental,Physical,Physical,Community
60,,I will be taking a nap so that I can catch up on sleep.,Physical,,Physical,,Physical,
61,,Today I chose to rest and relax by taking an hour nap. I was not feeling well so this helped me.,Physical,,Physical,,Physical,
62,,"Today's calming activity was simple, I took a nap. I crawled back into bed, my dog climbed in under the covers, and I got to cuddle her. She's an excellent source of comfort always so I was glad to spend some time with her relaxing. :)",Physical,,Physical,Mental,Physical,Emotional
63,,I took Dr.Do’s advice and I sat in the sun for 15 minutes! ,Environmental,,Environmental,,Environmental,
64,,Today I am working on my 'create' wellness - I am doing some cooking today to keep up my healthy eating plan that my fiancé and I have started together in attempt to look our best for our wedding day. I am also planning on spending some time with my mother and grandmother today for some family bonding time! ,Mental,Community,Mental,Community,Mental,Community
65,,I was able to exercise at least 2 hours twice a week to reduce stress and refresh my mind to prepare for my PCEUT exam on Monday.,Physical,,Physical,,Physical,
66,,"For my health and wellness activity this week, I am having lunch with my mom.",Physical,Community,Physical,Community,Physical,Community
67,,I went to the grocery store to get some healthy good and also did some shopping with my friends,Environmental,Mental,Environmental,Community,Environmental,Community
68,,I took a walk around Coulon Park in Renton!,Physical,Environmental,Environmental,Physical,Environmental,Physical
69,,"My mom and my little sister came to Seattle to visit me this week. We went to the park, took walks, and had good foods together. It's been a fun time having them around!",Community,Environmental,Community,Environmental,Community,Environmental
70,,"Recently I’ve been really busy trying to catch up with school work which made me neglect my social life a little bit. To make up for that, this week, I spent some time to hit up two of my older friends from high school and undergrad and got the chance to catch up with them.",Community,,Community,,Community,
71,,Slept in on the weekend,Physical,,Physical,,Physical,
72,,I went downtown for happy hour with friends. ,Environmental,Community,Community,Environmental,Environmental,Community
73,,I made Moroccan apple beef and carrot stew for dinner.,Mental,,Physical,,Mental,
74,,I went for an early morning walk around my apartment today. The sun was out and it was very refreshing being outside. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
75,,During the break I took the time to call my sister and talk about things we were excited about in the summer. We agreed not to talk about school or work for the 30 minutes and just talk about fun things we wanted to do in the summer. ,Community,,Community,Mental,Community,Mental
76,,I worked out and did some dancing.,Physical,,Physical,Emotional,Physical,
77,,I did some gentle yoga,Spiritual,,Spiritual,Physical,Spiritual,
78,,I slept in a bit longer in the morning today and felt much better,Physical,,Physical,,Physical,
79,,I went for a 15 min walk each way to Safeway to do some grocery shopping.,Physical,Environmental,Physical,Environmental,Physical,Environmental
80,,Spent some time reading (for fun) with Lily. ,Mental,,Mental,,Mental,
81,,I went out for a walk with my mother to Ravenna Park. ,Physical,Community,Environmental,Community,Environmental,Community
82,,n/a,,,,,,
83,,"For my activity this week, I played softball with some other pharmacy friends in the IMA league that we're in here at school! We lost but we made sure to represent the pharmacy school well (against the dentistry team)!",Physical,Community,Community,Physical,Physical,Community
84,,"I took this time going over all the onboarding requirements needed for my IPPE site this summer. Since I will be at a different facility this summer than my WIP site, there is a lot of things I need to complete. I’ve submitted a lot of the required documents throughout the week but there are still a few missing things I need to turn in. I’m taking this time to gather all other required documents and complete all my onboarding. ",Occupational,,Occupational,,Occupational,
85,,I went for a run out in the sun.,Physical,Environmental,Environmental,Physical,Physical,Environmental
86,,I went on a walk around Green Lake with my mom and it was nice because I haven't been there since lockdown. ,Physical,Community,Community,Environmental,Community,Environmental
87,,This week/today for my well-being activity I made sure to catch up on and get ahead of my school work in order to participate in a dinner event for kappa psi with some of my fellow classmates to enjoy their company outside of studying. :),Occupational,Community,Occupational,,Occupational,
88,,I will have a dedicated amount of time today to have no screen time so I can give my eyes and brain a break.,Mental,,Mental,,Mental,
89,,I love watching youtube documentaries/video essays and I watched one today!,Mental,,Mental,,Mental,
90,,I spent some time walking inside the mall and did some retail therapies. It hurt financially but it definitely soothe my soul. ,Environmental,Mental,Environmental,Mental,Environmental,Mental
91,,I spent some time journaling.,Emotional,,Emotional,,Emotional,
92,,I listened to music.,Emotional,,Emotional,,Emotional,
93,,I listened to relaxing music.,Emotional,,Emotional,,Emotional,
94,,"For my self-care this week, I visited my family for a holiday. I had the opportunity to meet up with old friends, tour the city and relax at the end of the day by watching a movie. This was much needed after a week of exams.",Community,Environmental,Community,Mental,Community,Environmental
95,,I ran for 30 mins today! Going for 3miles for 30mins! ,Physical,,Physical,,Physical,
96,,I went to the Tulip Festival with other students I intern with.,Environmental,Community,Environmental,Community,Environmental,Community
97,,Today I took some time to catch up on homework as well start studying for my Medchem exam next Friday. It was definitely nice to be able to relax and try to be productive as well.,Occupational,,Occupational,,Occupational,
98,,I made myself lunch and read a book,Mental,,Physical,Mental,Mental,
99,,"I went to the Swanson Nursery with my mom and bought a bulb of purple rose, tomato, and strawberries!!",Environmental,Community,Environmental,Community,Environmental,Community
100,,"I used the remaining class time to practice patient education, then read another chapter of the book for self-care.",Occupational,Mental,Occupational,Mental,Occupational,Mental
101,,I spent a day at a city park and enjoyed nature. ,Environmental,,Environmental,,Environmental,
102,,"I had a very hard and tough day, beside my laptop wasn’t starting up, so my exams-free week wasn’t the best",,,,,,
103,,I took a nap,Physical,,Physical,,Physical,
104,,I did some laundry and tidied up my house!,Mental,Environmental,Environmental,Mental,Environmental,Mental
105,,Spent half an hour on a phone call with my family. ,Community,,Community,,Community,
106,,This week for health and wellness I set-up a consultation with a potential therapist who I plan to meet with once a week for professional advice regarding my personal at-home/living situation which influence my academic performance and how to stay motivated and productive through stressful circumstances.,Emotional,,Mental,Occupational,Emotional,Occupational
107,,Taking a morning walk to get breakfast,Physical,,Physical,,Physical,
108,,I went to the bookstore.,Environmental,,Environmental,,Environmental,
