Subj #,,Win 3_4,JC (1) ,JC (2),BC (1),BC (2),Category 1,Category 2
12,,"I read a book for the first time in awhile that wasn't a technical book or related to pharmacy. The book was rather short and was not my favorite by any means, but it was engaging enough that I finished it. It was a nice mental break to just be fully lost in a story for awhile rather then focusing on stressors. I love to books and that love has been put on the sidelines by school, and it was great to reignite that passion.  I don't have time to do it all that much, but it was truly great to read just for the sake of reading and was a good way to relax. ",Mental,,Mental,,Mental,
13,,"Today I had some social interaction with students in my PHRMPR 512 class after our session was over. My group and I stayed on Zoom talking about classes, work, and other random things for about 40-45 minutes. The social interaction helped me de-stress. I was also able to talk to students who I have not yet been able to really talk to and make a connection! I found this activity relaxing as we could talk about things we were stressed about and things we were looking forward to and laugh together! ",Community,,Community,,Community,
14,,Took my dog on a walk through my neighborhood. ,Physical,Environmental,Physical,,Physical,Environmental
15,,I took a 20 minutes break having lunch. ,Physical,,Physical,Mental,Physical,Mental
16,,"This has been a stressful school week with our first midterm coming up, so I have been sleep deprived and stressed. I spent my self-care time by relaxing and taking a much-needed nap to reset my mindset in order to continue studying. I really enjoyed the discussion on growth mindset. I do believe that it is important to be open-minded and to approach situations with no judgment. You would be surprised how much you can learn when you open your mind and heart to new ideas and new opportunities. ",Physical,Mental,Physical,Mental,Physical,Mental
17,,I volunteered at my gym to help run boxing classes!,Physical,Occupational,Physical,,Physical,Occupational
18,,I went on a walk to a local plant shop and purchased a lot of plants :) !,Physical,Mental,Physical,,Physical,Mental
19,,I listened to music for 30 minutes and cooked myself a bowl of noodles for lunch during the break time. ,Emotional,Physical,Mental,,Emotional,Physical
20,,Lately my physical health has not been great so I could not do some of the other things that I wanted to do but I was able to rest for an hour.,Physical,,Physical,,Physical,
21,,I listen to my relaxing and slow speed music for an hour.  ,Emotional,,Mental,,Emotional,
22,,I went to the gym to exercise for 20 minutes.,Physical,Environmental,Physical,,Physical,Environmental
23,,I worked out at home. ,Physical,,Physical,,Physical,
24,,I boxed with people in virtual reality for about 30 minutes,Physical,Community,Physical,Community,Physical,Community
25,,I worked out in the gym for 1 hour.,Physical,Environmental,Physical,,Physical,Environmental
26,,I have been going for 30 minutes' walk daily from the beginning of the week. i have realized it helps me to relax and sleep better. i have also been consciously training my mind and redirecting it to only think positively.,Physical,,Physical,,Physical,
27,,"Today, I decided to cook a meal, and I made a mushroom-cheese egg scramble, topped with green salsa. It only took 10 minutes to make (maybe less), but since I still have a lot of studying to do today, it was a good idea to have a meal to hold me through the rest of the afternoon. Usually for breakfast, I have coffee and lots of water. It was nice to be able to have a meal before sitting down to continue with school work.  I enjoy cooking and spending time in the kitchen. At the moment, school has been taking up a lot of my time, and my stress levels have significantly increased. This is affecting me a lot because I can feel my anxiety getting out of control, to the point where cooking is also becoming stressful. Spending more than half hour in the kitchen to clean and cook is not an option because there is so much studying and homework to be done. During the day I have to remind myself that it is ok to take a meal break. My first meal is usually sometime after noon. But, today we had a little break in class so I was able to take 20 minutes to make an egg-scramble.",Physical,Mental,Physical,,Physical,Mental
28,,I wrote in my phone journal for 20 minutes.,Emotional,,Emotional,,Emotional,
29,,I took a nap ,Physical,,Physical,,Physical,
30,,I spent an hour speaking to my therapist.,Emotional,,Emotional,,Emotional,
31,,"Organizing the order of priority is a skill that I need to improve. It is important for me to organize my own life at the moment. 

Today, the activity that I would like to choose is nurture connection; specifically, self-connectedness. 
Firstly, I want to have a vision board which contains all my dreams and goals that I want to achieve in the next 4 years (2025- the year I will graduate from pharmacy school).  
Secondly, I will write a future letter for myself in 2025. In the letter, When I write this letter, I pretend that I already achieved all things I wish when I was young. For example, I will say that I am so proud of myself because I already finished the pharmacy school, now I’m officially become a real pharmacist which is a significant milestone in my career and my life. 
Thirdly, reflect on my journey. I will make a comparison between the reality (2025) and my vision board to see how much different. Writing down all the reason why I do not achieve the goal, what I do to successfully accomplish my dreams. Hopefully, I can achieve 90% of all things I sketch in my vision board. ",Emotional,,Community,Emotional,Emotional,
32,,I watched a movie with my family.,Mental,Community,Community,,Mental,Community
33,,I met with friends on Tuesday night. We talked and had fun. It made me ease the stress from the upcoming exam,Community,Mental,Community,,Community,Mental
34,,I had a dinner with my friends to celebrate the upcoming Lunar New Year,Physical,Community,Physical,,Physical,Community
35,,"I have been taking naps or sleeping in more regularly to allow myself and my body to test. Studying, midterms, and stress surrounding school and COVID have drained me, so it has been relaxing to just nap to reenergize myself.",Physical,Mental,Physical,,Physical,Mental
36,,"I took my dog for a walk around the neighborhood out in the sunshine. Lately, with all of this online schooling I have been getting cabin fever, so it was nice to get out for a bit. I also took time to prepare for an exam this Friday which helped me relieve some stress.",Physical,Environmental,Environmental,Physical,Physical,Environmental
37,,I played piano for 30 minutes.,Emotional,,Mental,,Emotional,
38,,I went to the IMA and worked on my deadlift 1 rep max :) ,Physical,Environmental,Physical,,Physical,Environmental
39,,"Today I went out to get some fresh air to clear my head, and walked around. This activity took in total 20 minutes.",Environmental,Physical,Physical,Environmental,Environmental,Physical
40,,"This week I selected another nature option to help me to relax:  Walking through my neighborhood at night admiring the Christmas light holdovers.  They are so gorgeous, especially on a clear, cold night.  I will do this tonight (Wednesday) after I finish my schoolwork.",Physical,Environmental,Environmental,,Physical,Environmental
41,,I listened to music.,Emotional,,Mental,,Emotional,
42,,Decided to make chicken parmigiana with fresh pasta. FYI if you do decide to do this it take a long time. ,Mental,,Physical,,Mental,
43,,I spent 30 minutes playing piano.,Emotional,,Mental,,Emotional,
44,,I went to do homework on my rooftop. Enjoyed the sun even if it was a tad chilly ,Mental,Environmental,Environmental,,Environmental,
45,,"Something I did this past weekend was get together with my siblings, boyfriend and friends and all went to an escape room. It was so much fun because I was not thinking about any stress that I had or school one bit. My focus was directed towards the game for the whole hour. The specific one that we had chosen was called ""The Bank Job"", where we had to rob the bank, unfortunately we were not able to fully finish the job but we were so close. Overall I had a great time working together with my loved ones and getting away from my normal day to day tasks. I would recommend it to everyone. ",Community,Mental,Community,Mental,Community,Mental
46,,Create - around 30 minutes I cooked pasta that tasted very good with a significant other over the weekend.,Mental,Community,Mental,,Mental,Community
47,,I took a walk through campus with friends to relieve stress for our PCEUT exam.,Physical,Environmental,Physical,,Physical,Environmental
48,,I walked 20 minutes to get a Carmel macchiato from my favorite coffee spot.,Physical,Environmental,Physical,,Physical,Environmental
49,,I took a walk to a new cafe by my neighborhood to get a latte and some fresh air. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
50,,"I did yoga and meditation for 20 minutes at least three times a week. I worked on several puzzles on an app called ""Jigsaw Puzzles"" before I went to bed, and I found it to be very therapeutic and helpful for distressing. ",Spiritual,Mental,Spiritual,Mental,Spiritual,Mental
51,,Went for a walk around my neighborhood,Physical,Environmental,Physical,Environmental,Physical,Environmental
52,,Took a 30 min walk and then read my book.,Physical,Mental,Physical,Mental,Physical,Mental
53,,"I took a walk around my neighborhood after work. I stopped at Molly Moon's ice cream to get myself a little sweet treat after a long day. I got the honey lavender flavor and it tastes as great as usual. I love eating sweet things like ice cream, bubble milk tea or crepe when I'm stressed out during the day. It don't know why but the cold and sweetness especially from ice cream really help calm me down, ease my mind, and just make me feel better!",Physical,Environmental,Physical,Environmental,Physical,Environmental
54,,I went for a walk on the campus for 30 minutes.,Physical,Environmental,Physical,Environmental,Physical,Environmental
55,,I took a walk outside. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
56,,Create - spent some time making a tiktok video,Mental,,Mental,,Mental,
57,,I took a walk at my local park. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
58,,"To relax this week, I decluttered and cleaned my apartment for an hour. I know this might not seem like wellness but I genuinely love cleaning and organizing. Plus my apartment looks so clean and neat and beautiful now!",Environmental,Mental,Environmental,Mental,Environmental,Mental
59,,The past Friday after class I was feeling very overwhelmed with the amount of studying and assignments I had to do over the weekend. After a long day of class I started to jump into completing homework for the weekend. I then realized I ha not taken a break yet that day so I decided to go for a long walk around my neighborhood. I ended up taking the night off and coming back to school work the next day and I was much more relaxed and productive.,Physical,Environmental,Physical,Environmental,Physical,Environmental
60,,I worked out at the gym (LA fitness),Physical,Environmental,Physical,Environmental,Physical,Environmental
61,,"This week, the activity that resonated with me the most was social connectedness. Today I studied for my PCEUT532 class with a friend at my apartment. This was nice because I have not had many social encounters since classes have been remote for the past 4 weeks. ",Community,Mental,Community,,Community,
62,,"Today, I spent some time at the grocery store. I know that's not normally relaxing, but I had more time today and go to visit 99 Ranch, an asian market I don't get to visit as often as it's a little bit further away. I am planning on making some dumplings for Lunar New Year next week and wanted to stock up on some supplies and buy lots and lots of sweet snacks for friends, family, and co-workers to celebrate with. I love celebrating Lunar New Year, so it was really fun for me today to take some time and shop around for all the yummy goodies (and definitely save some money when it comes to sauces, meat, and veggies) :)",Environmental,Mental,Environmental,,Environmental,Mental
63,,Connected to environment: After class I went on a brisk walk around my neighborhood and played my favorite music playlist and it took about 45 minutes. It was really relaxing ,Physical,Environmental,Environmental,,Physical,Environmental
64,,This week I will be spending some time expressing and sharing gratitude. These last couple of weeks have been really busy for me with multiple quizzes and exams falling around the same time and feeling like I have no time to move away from my computer screen without missing pertinent information or losing time. My fiance has been tremendously helpful in picking up the little things that I haven't been able to do and helping me to set up a good study environment so I can be successful. I haven't properly acknowledged his help and I want to spend time today showing gratitude by doing some of the dishes and telling him how meaningful his help is.,Community,Emotional,Community,,Community,Emotional
65,,"This week I chose rest/relax. Since I love sleeping, I chose to nap for 20 minutes (this turned into maybe a couple of hours??) It is what I needed to prepare for the 531 exam coming up. A mixture of catching a cold and studying for this test really wiped me out this week, and it feels like I was falling behind. The napped also helped relieve a little stress, which immediately came back when I started studying again.",Physical,Mental,Physical,,Physical,Mental
66,,I went for a run around Greenlake park.,Physical,Environmental,Physical,Environmental,Physical,Environmental
67,,"For this week health and wellness documentation, I decided to pick a new movie and watch it to unwind after studying",Mental,,Mental,,Mental,
68,,I watched videos on Youtube and played games for an hour!,Mental,,Mental,,Mental,
69,,I went running with my dad for about 40 minutes in a park that's close to our neighborhood.,Physical,Environmental,Physical,Environmental,Physical,Environmental
70,,"Lately I have been spending a lot of time just sitting in one place and studying for exams which also has given me lots of headaches. For my self care, I decided to take about a 30 minute to one hour break just to clean my room because I needed some time away from my screen and to move around for a bit. Also seeing things get cleaner made me feel more satisfied.",Mental,Environmental,Environmental,Mental,Mental,Environmental
71,,Took a few naps and bought some flowers when I went grocery shopping!,Physical,Environmental,Physical,,Physical,Environmental
72,,I called my friend and met my sister for dinner. ,Community,Physical,Community,,Community,Physical
73,,Cooked food with my brother,Community,Mental,Community,Physical,Community,Mental
74,,"While checking my mail today, I decided to take a walk around my neighborhood. The fresh air and getting out was very refreshing. ",Physical,Environmental,Environmental,Physical,Physical,Environmental
75,,This week our small group spent 45 minutes together on zoom after our session ended with Dr. Chang and it really made me feel better and be more relaxed since we all just got to vent and talk to each other. I also did a face mask last night and laid on the floor for 15 minutes while I listened to music. ,Community,Emotional,Community,Mental,Community,Mental
76,,I drank some tea while listening to music to relax.,Physical,Emotional,Mental,,Physical,Emotional
77,,I did yoga in my room and went on a run.,Spiritual,Physical,Physical,Spiritual,Spiritual,Physical
78,,I have spent 30 minutes meditating using Sanvello App.,Spiritual,,Spiritual,,Spiritual,
79,,I am meeting up with Kappa Psi family for dinner and eating dimsum i hope!,Community,Physical,Community,Physical,Community,Physical
80,,Tonight I am going to take some time off from studying and enjoy sushi take-out and the company of my two best friends. Spending time with my loved ones is always valuable to my health and wellness. ,Physical,Community,Community,,Physical,Community
81,,-Enjoyed a cup of tea and chat with my mother in her kitchen. ,Community,Physical,Community,,Community,Physical
82,,Went to the gym and did and watched a few videos on math proofing [math proofs are interesting to me],Physical,Mental,Physical,Mental,Physical,Mental
83,,"For self care this week, I decided to rest/relax by taking a 25 minute power nap!",Physical,Mental,Physical,,Physical,Mental
84,,"This week I actually met up with a friend that I haven't seen for some time. It was great, we picked things up right where we left them, it's as if we've missed no time away from each other. Great energy. Much needed and I'm thankful for them. ",Community,,Community,,Community,
85,,"To self-care this week I spent the afternoon going for a longer run, continuing my ongoing schedule of longer runs on Wednesdays when classes are light.",Physical,,Physical,,Physical,
86,,"For my wellness self-care activity, it doesn't particularly resonate with just one day. But this week I started a transformation challenge at one of my favorite group gyms I used to attend. It's at orange theory, although it is a group workout, I was able to re-establish a connection with myself and my love for working out, especially running! ",Physical,Environmental,Physical,,Physical,Environmental
87,,This week for my health wellness self-care I took a break from studying for the PCEUT midterm and watched an episode of Friends with my housemates while eating dinner to relax and give myself a break.,Mental,Community,Community,Mental,Mental,Community
88,,"I took a 30-minute nap and felt so refreshed! Afterward, I went to the store to buy some veggies so I can cook a nutritious meal tomorrow.I appreciated the discussion on growth mindset. I used to struggle with a fixed mindset, so having these reminders is always so nice. ",Physical,Mental,Physical,,Physical,Mental
89,,"Instead of taking the car, my classmate and I walked to campus from my apartment, and we took the link and walked around Capitol Hill to get lunch and dessert! I usually never get ice cream but I treated myself today.",Physical,Environmental,Physical,Community,Physical,Environmental
90,,"I took my dog out for a walk today at Woodland park, it was sprinkling and my dog surprisingly loved it. It has been a while since we got a chance to go out and enjoy the nature. ",Physical,Environmental,Environmental,Physical,Physical,Environmental
91,,I made myself a fancy brunch. ,Mental,,Physical,,Physical,
92,,Listen to music,Emotional,,Mental,,Emotional,
93,,I took a walk around campus. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
94,,"I went out on a walk with my roommate to catch the sunset (although didn't see it because of the clouds). Due to our busy schedules and online zoom classes, we do not have much time to spend with each other and leave our rooms. It was nice to get out our rooms and stretch our bodies.",Physical,Environmental,Physical,Environmental,Physical,Environmental
95,,I woke up early today and went to the gym right before class. I also made a charcuterie board for myself as a treat! ,Physical,Environmental,Physical,,Physical,Environmental
96,,Rest & Relax: I spent the afternoon working on a 800 piece puzzle. ,Mental,,Mental,,Mental,
97,,"Last time I drew a picture of a tiger, this time I decided to draw a picture of an anime character. I generally love watching anime so I decided to draw a picture of tanjiro; a character in demon slayer. I wasn’t able to finish it within twenty minutes, however, I hope to finish it up sometime this weekend.",Mental,,Mental,,Mental,
98,,I worked out for 30 minutes.,Physical,,Physical,,Physical,
99,,I started to do beginner friend HIIT three times weekly.,Physical,,Physical,,Physical,
100,,"Today, I had an hour break and I chose to spend it with my mother. I helped her with making lunch for the family. We had a lot of fun together, and this one hour gave me a lot of positive energy. It's also helped me recharge and prepare for my upcoming exam on Friday.",Community,Mental,Community,,Community,Mental
101,,I went out for a drive around the neighborhood today. ,Environmental,,Environmental,,Environmental,
102,,I called a friend whom I haven’t talked to for a long time. And I started brainstorming some ideas for good gifts for my friends and family at my home country.,Community,Mental,Community,Mental,Community,Mental
103,,I had taken a nap for 20 minutes ,Physical,,Physical,,Physical,
104,,I went to eat ramen at ramen danbo with my girlfriend!,Physical,Community,Physical,Community,Physical,Community
105,,"This week, I completed the rest/relax component on the choice board. I closed my eyes, laid on my bed and listened to the Weeknd's new Dawn album for about 20 minutes.",Physical,Emotional,Mental,,Mental,Emotional
106,,"This week I spent time practicing resilience building skills by writing down 5 things that I am grateful for which is my are my dogs, access to food and water, shelter, family. and access to healthcare.",Emotional,,Mental,,Emotional,
107,,I made breakfast and coffee and took the time to enjoy it in the morning to destress before class and to take time away from work and school,Mental,Physical,Physical,,Mental,Physical
108,,I explored new areas of the city ,Environmental,,Environmental,,Environmental,
