Subj #,,Spr 1_2,JC (1) ,JC (2),BC (1) ,BC (2),Category 1,Category 2
31,,"I’m questioning myself How am I feeling? What does the feeling come from? I am feeling low today. Maybe it’s depression, maybe I am just feeling sad and lonely. Either way, I am not feeling like my best self. Sometimes, I feel like being human is so hard; especially, being emotional unstable is such a challenge for me to handle. I know these negative feelings are just temporary, and I am aware that these negative energies will go away soon. But I really need time to process these emotions. I recognize the feeling of sadness and loneliness, so I need to face with these roller-coaster feelings. Thus, I am able to learn how to accept them, and it turns out easier for me to move on.  To be frank, it seems like it’s quite difficult for me to express my emotions. Nobody truly understands what I’m feeling or I’m thinking. Therefore, I think I need a little pause from life. I keep reminding myself that true healing occurs when I give myself permission to feel whatever feelings live below the triggers. I should choose to focus on what brings me happiness. I invite something nicer to come up and calm the negative energies. I read some inspiring words. I listen to a piece of beautiful music. I go somewhere in nature or I do some walking meditation. These activities help me to boost up my energy and bring me joy. I believe that I gradually feel better soon. ",Emotional,,Emotional,Environmental,Emotional,Environmental
32,,I took a long walk with my husband.,Physical,Community,Community,Physical,Physical,Community
33,,I went to Istanbul. I walked so much but saw incredible landmarks that look surreal. ,Environmental,Physical,Environmental,,Environmental,Physical
34,,I went to the Flower World and the Molback’s Nursery last weekend with my family to get indoors plants for the upcoming spring. ,Environmental,Community,Community,Environmental,Environmental,Community
35,,I went to lunch and then on a walk with a friend I had not seen in a while.,Physical,Community,Physical,Community,Physical,Community
36,,I went for a nice stroll with my dog and enjoyed the sunshine. I also went to the HUB and played pool with some of the pool club people. It was a great way to keep my mind off stressors.,Physical,Community,Physical,Environmental,Physical,Environmental
37,,I visited the cherry blossom trees.,Environmental,,Environmental,,Environmental,
38,,I made a homemade pasta sauce for my lunch today :) ,Mental,,Physical,,Mental,
39,,"Today I jogged around the neighborhood, try to get as much of the fresh air as I can, and clear my mind from school.",Physical,Environmental,Physical,,Physical,Environmental
40,,"Yesterday after WIP was a beautiful afternoon.  I went to the park near the hospital and walked through it, enjoying all of the beautiful trees in bloom for spring!  Decided to grab a coffee as well and sit on one of the park benches, enjoying the sunshine!!  ",Physical,Environmental,Environmental,Physical,Physical,Environmental
41,,I went to Starbucks to grab a coffee.,Physical,Environmental,Physical,,Physical,Environmental
42,,"I took a walk to the store this morning to buy some groceries, Sudafed, and Zyrtec as the seasonal allergies are absolutely making me suffer. Hoping I can get better as of course luck would have it that I start getting sick right before school. ",Physical,Environmental,Environmental,,Physical,Environmental
43,,I yook a walk around campus for 30 minutes.,Physical,Environmental,Physical,Environmental,Physical,Environmental
44,,"Filled my humidifier, replanted my new plant babies!",Environmental,,Mental,,Mental,
45,,I slept in on the weekend. ,Physical,,Physical,,Physical,
46,,I spent time doing relaxation exercises to wind down after a long day at school.,Physical,,Physical,,Physical,
47,,I went to get to get coffee in Capitol Hill with my sister.,Physical,Environmental,Environmental,Community,Physical,Environmental
48,,I made açaí bowl. Yummy,Mental,,Physical,,Mental,
49,,"I went grocery shopping and made my roommate and I’s favorite, spring rolls!",Environmental,Mental,Environmental,Physical,Environmental,Physical
50,,I went to watch Batman with my friends. I went hiking at Wallace Fall State Park last Saturday. I went back to California to visit my family and enjoy the sun over my spring break. ,Mental,Environmental,Mental,Environmental,Mental,Environmental
51,,Went on a short run through my neighborhood.,Physical,Environmental,Physical,Environmental,Physical,Environmental
52,,Met up with an old friend and we got to catch up.,Community,,Community,,Community,
53,,"One of the best Spring breaks ever! My boyfriend and I had a trip to New York City to visit my cousins for 4 days. Although we have been to NYC for a few times before, there are still many places to visit and we feel that we have never got enough time to do that. This time, we went to visit 9/11 memorial museum, the vessel, MOMA, the Summit at One Vanderbilt and we came back to visit Brooklyn bridge as every time we are here. We had a great helicopter trip in New Jersey and it was the most interesting part of the trip. We also experienced a lot of good foods and realized we averagely walked about 20,000 steps every day during the trip! ",Community,Environmental,Environmental,Community,Community,Environmental
54,,I took a warm bath then took a short nap. It helped me feel refreshed and relaxed.,Physical,,Physical,,Physical,
55,,I ran two miles at the IMA. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
56,,"Outdoor: Spent some time visiting the cherry blossoms, taking photos, and enjoying the sunny and windy weather",Environmental,Mental,Environmental,Physical,Environmental,Mental
57,,I took a walk at the park. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
58,,I went to the gym!,Physical,Environmental,Physical,Environmental,Physical,Environmental
59,,"This week I went to the gym a few days after class. It's been a couple years since I felt safe going to a gym but even after a few sessions, it has helped me a lot with my stress management and self image. It has been a good way to start off the quarter by allowing myself to reserve a couple hours a day to just clear my head after class instead of going straight into doing homework and studying. I find that after working out, I am more productive with school work as well.",Physical,Environmental,Physical,Environmental,Physical,Environmental
60,,Today I spent time doing mindfulness during the cultural activity in class. I learned about the Eritrean culture and compared it to my own. I have a great appreciation to other cultures and am excited to be able to learn more about other cultures in the future,Mental,,Mental,,Mental,
61,,Today I took a long walk around my neighborhood to get some fresh air. The weather outside was too nice and sunny to not take advantage of.,Physical,Environmental,Environmental,Physical,Physical,Environmental
62,,"Yesterday because our class ended a little early and I had a student cancellation, I got to join my boyfriend in a nice long walk with our dog. We walked around and played Pokémon Go, I got some really cute pictures of the two of them with a blossoming Japanese cherry tree, and we got to walk on this little trail that connects two streets in my neighborhood. It was a great walk!  ",Physical,Environmental,Community,Environmental,Community,Environmental
63,,I reached out to a colleague to help me study for an upcoming exam. ,Community,Occupational,Community,Occupational,Community,Occupational
64,,Today I am working on my physical and emotional wellness and am spending some time with my dogs and taking them to the park for a bit to enjoy the sunshine. ,Physical,Environmental,Physical,Emotional,Physical,Environmental
65,,"My goal for this quarter is to find time to exercise and get at least 6 hours of sleep a night. I spent my last two quarters staying up late studying a day or two before an exam without getting even an hour of sleep. Though I got through the material, I could not recall the information during my exams. It’s crucial to get good grades, but I should not let myself deteriorate in the process.",Physical,,Physical,,Physical,
66,,"On March 30, I listened to relaxing music while making lunch.",Emotional,Mental,Emotional,,Emotional,Mental
67,,I went to see the cherry blossom at the quad and had a picnic there with some friends ,Physical,Environmental,Environmental,Community,Environmental,Community
68,,I went on a walk at Coulon Park in Renton and enjoyed the sun.,Physical,Environmental,Environmental,Physical,Physical,Environmental
69,,I met a high school friend. We got boba together and had a nice chat. ,Community,Physical,Community,Physical,Community,Physical
70,,I took a break from binge watching lectures and treated myself to one episode of a Netflix show.,Mental,,Mental,,Mental,
71,,"Spent a lot of time during break deep cleaning, which was really refreshing and makes me happy to be living in this space",Environmental,,Environmental,Mental,Environmental,
72,,I talked to a friend on the phone for 30 mins,Community,,Community,,Community,
73,,Made Chinese tomatoes and eggs for breakfast,Mental,,Physical,,Mental,
74,,I took a walk around campus and checked out the cherry blossoms for the first time. The walk very refreshing and beautiful. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
75,,Today I used the 20 minute break to do a short yoga workout and spend 5 minutes just sitting and breathing. ,Spiritual,Physical,Physical,Spiritual,Physical,Spiritual
76,,I took a walk on a trail near my apartment. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
77,,I made a meal and chatted with a friend on the phone.,Mental,Community,Physical,Community,Mental,Community
78,,I cleaned my closet and donate some winter clothes. ,Environmental,,Environmental,Mental,Environmental,Mental
79,,I went to Costco with a friend of mine for the first time in 5 months to go grocery shopping and it was fun and amazing.,Environmental,Community,Community,Environmental,Environmental,Community
80,,Took my daughter on a bike ride around the park. ,Physical,Environmental,Community,Environmental,Community,Environmental
81,,I went to my first annual health and wellness exam in five years.,Physical,,Occupational,,Physical,
82,,n/a,,,,,,
83,,"For this week, I was able to visit home in San Diego and play outside and get some fresh air with my dog!!",Environmental,,Environmental,Physical,Environmental,Physical
84,,Today is day 5 out of 30 for Ramadan so I plan on giving myself extra time today to reflect and pray. Also will take the time to do some extra reading. ,Spiritual,Mental,Spiritual,Mental,Spiritual,Mental
85,,For this self care (and most of my spring break) I sat out on my patio with a non-school book and soaked in some sunlight and relaxed.,Mental,Environmental,Mental,Environmental,Mental,Environmental
86,,This week I finally decided to get my small business up and running. I make paracord bracelets and other crafts with paracord such as paracord water bottle handles. I do it for relaxation but a few of my classmates expressed interest in me making some for them so I decided to pursue one of my dreams of opening up an etsy shop to sell my paracord crafts!,Occupational,Mental,Mental,,Occupational ,Mental
87,,"For this week's activity, I went to dinner with some friends of mine from school as a study break and to connect with them in a way that is not school-related. :)",Physical,Community,Community,,Physical,Community
88,,I will be spending time with my roommates and shopping - it will be a nice break from thinking about school!,Community,Mental,Community,Mental,Community,Mental
89,,My boyfriend and I got a paint by numbers kit and it's super fun and relaxing to work on together!,Community,Mental,Community,Mental,Community,Mental
90,,I have not talked to my mom for a while and I had an hour phone call wit my mom and it actually feel really nice. ,Community,,Community,,Community,
91,,I had lunch with my parents at U Village. ,Physical,Community,Community,Environmental,Physical,Community
92,,I went to the gym.,Physical,Environmental,Physical,Environmental,Physical,Environmental
93,,I went out with friends to see the cheery blossom at Quad. ,Community,Environmental,Environmental,Community,Community,Environmental
94,,I went to see the cherry blossoms and see the Suzzallo library with my friends. Visiting the library has been one of the places to see since moving to Washington and I finally had the opportunity to visit. ,Environmental,Community,Environmental,Community,Environmental,Community
95,,I went to the gym this morning and cooked a really good sandwich. ,Physical,Mental,Physical,Environmental,Physical,Mental
96,,My self care for the week was making dinner for my PY2 friend and enjoying a night in catching up and hanging out.,Mental,Community,Community,Physical,Mental,Community
97,,The activity I chose to do was to get lunch with a couple of friends in my class. We went to this place called Sugo Hand Roll in Seattle which has been growing popularity. The food was amazing and would love to go again.,Environmental,Community,Community,Environmental,Environmental,Community
98,,I cooked food for myself for the week!,Mental,,Physical,,Physical,
99,,I am going to watch the cherry blossom on campus tomorrow with my friends and take pictures. ,Environmental,Community,Environmental,Community,Environmental,Community
100,,"Spending time with old friend helps a lot with my emotional well being. So, today I'll go to see one of old friends and spend some time to refresh memories.",Community,,Community,,Community,
101,,I went to Seward park and took a long walk with my friend. ,Environmental,Physical,Community,Environmental,Environmental,Community
102,,"This week I am deciding on the best time to take a break from everything for 3 or 4 weeks and visit my hometown during summer, so I am trying to book and it is really exciting.",Mental,,Mental,,Mental,
103,,I took a nap,Physical,,Physical,,Physical,
104,,I went to dave and busters!,Environmental,,Environmental,,Environmental,
105,,I went on a half hour run to Gas works park this past tuesday ,Physical,Environmental,Physical,Environmental,Physical,Environmental
106,,"Today for health, wellness, and self-care I played gentle, ambient forest/stream sounds and rested my mind by meditating and practicing positive affirmations. I also practiced visualization meditation which is helpful for motivating me to start and complete necessary tasks/assignments for the day.",Spiritual,Emotional,Spiritual,Emotional,Spiritual,Emotional
107,,Really take it easy and slowly make breakfast after my meeting as a winddown time before class starts.,Mental,,Physical,,Mental,
108,,I met up with some friends over the weekend.,Community,,Community,,Community,
