Subj #,,Win 9_10,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
52,,"I made chicken, rice and veggie soup and it turned out pretty well!",Mental,,Physical,,Mental,
53,,"It was a beautiful and peaceful today! I started off my Sunday with a yoga practice and had some homemade toast. Then I went to school library to study for a couple hours. After that, I went back home and made some dinner :)  Mixed avocado and berries toast: [photo] Grilled salmon with mixed salads for dinner: [photo]",Spiritual,Occupational,Physical,Occupational,Spiritual,Occupational
54,,I had a good walk and lunch with my husband. It helped me relax and calm my mind.,Physical,Community,Physical,Community,Physical ,Community
55,,I took a walk around greenlake!,Physical,Environmental,Physical,Environmental,Physical ,Environmental
56,,"Decorated my space with (fake) plants, but greenery nonetheless.",Environmental,,Environmental,,Environmental,
57,,I went out for dinner with friends and caught up with each other. ,Environmental,Community,Community,,Environmental,Community
58,,I cooked a new recipe I've been wanting to try out!,Mental,,Physical,,Mental,
59,,"Over the weekend I decided to cook as a mode of self care for myself. Cooking is something I got interested in a few years ago and it was something I could do that relaxed me. After starting pharmacy school, I became busy and didn't cook as often so it felt nice to get back into it after awhile and to take a night off from school before finals.",Mental,,Physical,,Mental,
60,,I slept in for the first time in a while. I have been overly stressed and overwhelmed especially before bedtime.,Physical,,Physical,,Physical ,
61,,Today I choose to connect to nature by watering all of the plants in my apartment and running two miles along Greenlake.,Environmental,Physical,Physical,Environmental,Physical ,Environmental
62,,"I was SO lucky this week to have some family in town. My brother-in-law and his partner came to spend some time with us this weekend and part of the week. We were able to spend a lot of time together going to breweries, playing games, and enjoying the hot tub. It was so much fun, I already miss them so much. I was so happy to catch up with them and explore more of the Seattle area. ",Community,Environmental,Community,Environmental,Community,Environmental
63,,on 9/10 : i used the extra time we had to go over and prepare for the calculations exam and submit my redo my quiz 7  ,Occupational,,Occupational,,Occupational,
64,,"I am attempting to get back into running and today is a really beautiful day, so I am going to go for a run today before I dive back into studying for finals :). ",Physical,,Physical,Environmental,Physical ,
65,,I took a random nap last week because the stress was getting to me. PCEU test on Friday has consumed my whole mind for the last week. I realized that the more I crammed the worse I got. At this point I am just trying to make to the end of the quarter and reset my mind. I hope to get a better start next quarter and continue to find more time for me.,Physical,,Physical,,Physical ,
66,,I went to take a walk around my neighborhood to get some fresh air.,Physical,Environmental,Physical,Environmental,Physical ,Environmental
67,,"For this week's self-care activities, I went to the market and got some ingredients to make a few dishes for me and my friends. I also went to Golden Garden beach to spend time with friends. ",Environmental,Community,Environmental,Community,Environmental,Community
68,,I baked an imitation Starbucks lemon loaf and watched my brother's cat for an evening!,Mental,,Physical,Mental,Mental,
69,,"My highlight of the week was that I got to distribute medications with a nurse to the inmates at my WIP facility during this WIP session. It made me think a lot, but it was relaxing and meaningful to me at the same time. I really enjoyed this experience. ",Occupational,,Mental,Emotional,Occupational,
70,,My sister requested I make a vaccine top loader for her so I decorated this for her! Decorating this was really calming and therapeutic.,Mental,,Mental,,Mental,
71,,Took a nap and finished a show I was watching on Netflix,Physical,Mental,Physical,Mental,Physical ,Mental
72,,I went to a study group for 1 hour,Occupational,,Occupational,,Occupational,
73,,Made some good Filipino food for dinner,Mental,,Physical,,Mental ,
74,,"For my wellness activity this week, I cleaned and organized my closet (it really needed it). Organizing in general is very relaxing for me. ",Environmental,,Environmental,Mental,Environmental,
75,,This week I made sure to get dinner with a friend and make time in the day to have a coffee break with another friend. ,Physical,Community,Community,Physical,Physical ,Community
76,,I took a nap for an hour and felt refreshed. ,Physical,,Physical,,Physical ,
77,,I made a meal and did some yoga.,Mental,Spiritual,Physical,Spiritual,Mental,Spiritual
78,,This week I have time to try on my new Thai food recipe and book an appointment with my doctor.,Mental,Physical,Physical,,Mental,Physical
79,,I went to dinner with 3 friends in U-district.  We went to the Alley for Korean food.,Physical,Community,Physical,Environmental,Community,Environmental
80,,I went on a walk to the park with my daughter. ,Physical,Environmental,Community,Environmental,Physical ,Environmental
81,,Made rosemary sourdough bread with my mother,Mental,Community,Community,Physical,Mental,Community
82,,Going to the gym and going on walks during sunny days. ,Physical,Environmental,Physical,Environmental,Physical ,Environmental
83,,I switched WIP shifts with the gold cohort this week. So I did my self care today and attended church mass for Ash Wednesday!,Spiritual,,Spiritual,,Spiritual,
84,,"I took Wednesday's designated class time and studied for finals. Finals are in a few days and I've been feeling really anxious, so I gave myself more time to study on subjects I didn't feel as confident in. Around this time next week, I'll be stress free and on spring break. Woohoo!",Occupational,,Occupational,,Occupational,
85,,"I FaceTime-ed my friend and helped him with a project he was working on, and then got to spend some virtual time with him.",Community,Environmental,Community,,Community,
86,,This week I got back into making paracord bracelets and spent some time doing that this week. It was really relaxing and I hope to be doing it regularly now because it helps give my mind a break. ,Mental,,Mental,,Mental,
87,,Today for my well-being I got to enjoy the sunshine a bit and went on a walk on the Interurban Trail in Shoreline and listened to a podcast I like while doing so. It was very refreshing and helped me refocus and get motivated to continue studying for finals. :),Physical,Environmental,Environmental,Physical,Environmental,Physical
88,,"I'm sorry - I didn't realize I didn't submit this. I don't remember what I did on Wednesday, but later on in the week, I made a point to sit and enjoy my coffee in the morning rather than chugging it. I felt refreshed and ready for the day.",Physical,mental,Physical,,Physical ,
89,,I went to the arcade again!!! This time I tried playing and claw machines and my boyfriend and I won 4 plushies!!!!!!! We also won a ton of tickets for next time we go back. Today instead of taking the car we are walking to school since the weather is beautiful. ,Mental,Physical,Environmental,Community,Environmental,Physical
90,,I have had a stressful week so I decided to put everything away and take a long walk to refresh my mind. I even treated myself with nice meals to remind myself there’s so much more valuable things in life.,Physical,,Physical,,Physical ,
91,,I went for a 30 min walk on the Burke Gilman trail.,Physical,Environmental,Environmental,,Physical ,Environmental
92,,Go to the gym.,Physical,Environmental,Physical,Environmental,Physical ,Environmental
93,,I took a walk outside.,Physical,Environmental,Physical,Environmental,Physical ,Environmental
94,,Spoke to my friend over FaceTime to connect since we hadn't spoken in a long time. I felt much happier after sharing my feelings and thoughts with someone outside of school. Also helped me to take a break from studying.,Community,,Community,,Community,
95,,I went to the gym and washed my car. ,Physical,Mental,Physical,Environmental,Physical ,Environmental
96,,I volunteered at the Capitol Hill farmers market. It was great to spend a few hours getting to know Washington farmers and being a part of the local community.,Occupational,Environmental,Environmental,,Occupational,Environmental
97,,"For my self care this week, I decided to make an original curry recipe for lunch. It took me at least two hours to actually make with an additional 30 minutes to come up with the recipe.",Mental,,Physical,,Mental,
98,,I went to get my nails done for a wedding this weekend,Physical,,Mental,,Physical ,
99,,I walked around the neighborhood with my family. ,Physical,Environmental,Community,Environmental,Physical ,Environmental
100,,"This week I took a quick walk on this sunny Wednesday, and read a book afterward.  ",Physical,Mental,Physical,Mental,Physical ,Mental
101,,I played with my nephew for an hour. ,Community,,Community,,Community,
102,,This week I was celebrating my birthday in a special way and I met some friends.,Community,,Community,,Community,
103,,I took a walk around my neighborhood,Physical,Environmental,Physical,Environmental,Physical ,Environmental
104,,I talked to my parents and got gas! Did some laundry and took a nice break,Community,,Community,Environmental,Community,Environmental
105,,I took a 30 min power nap today to recharge,Physical,,Physical,,Physical ,
106,,"This week for self care I layed down and meditated for 20 min with ambient music (waves crashing on a beach, gently rain, river sounds) playing in the background",Spiritual,,Spiritual,Emotional,Spiritual,Emotional
107,,I took a barre class for the first time,Physical,,Physical,,Physical ,
108,,I tried a new video game.,Mental,,Mental,,Mental,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 
