Subj #,,Win 7_8,JC (1) ,JC (2),BC (1),BC (2),Category 1,Category 2
80,,This weekend I was able to take some time off and spend time with family. We went out for dinner and enjoyed each others company. ,Community,Physical,Community,Environmental,Community,Physical
81,,Got bubble tea with a friend,Physical,Community,Community,Physical,Physical,Community
82,,Gym session daily regiment started.,Physical,,Physical,Environmental,Physical,Environmental
83,,"For my self care this week, I switched up my study routine and went to a coffee shop with my friend! We caught up for a bit with life, and then studied for class together.",Physical,Community,Environmental,Community,Environmental,Community
84,,Sometimes things slip away and I get overwhelmed. I spent this weeks self care time catching up on assignments that I missed or assignments that needed to be redone. Well needed time to catch up and hopefully I'll stay on track and not over prioritize a course and not give enough time to the other course. ,Occupational,,Occupational,,Occupational,
85,,I went for a run around lake Union,Physical,Environmental,Physical,Environmental,Physical,Environmental
86,,"This week I was able to take a day to myself and go out with my sister. Although I felt guilty taking time for myself, hanging out, shopping, and getting lunch with my sister was really fun because I don’t see her that often. It felt really refreshing! ",Community,Physical,Community,Environmental,Community,Environmental
87,,I'm practicing a nurture connection via social connectedness. I am studying with two different friends today and tomorrow to allow myself to connect with friends while also being productive for my mental health.,Community,,Community,Occupational,Community,Occupational
88,,I cooked a good meal for myself and my boyfriend.,Mental,Community,Physical,Community,Mental,Community
89,,"My boyfriend and I went to the arcade again!! We got so many tickets I was able to win a plush I wanted from the prizes. We also spent the night putting together a puzzle which was really fun, challenging, and relaxing. ",Mental,Community,Community,Environmental,Mental,Community
90,,I tried to finish my note for one class then went out for food at one of the recommended restaurants that my mentor group made. It was worth a try. ,Physical,Environmental,Occupational,Environmental,Occupational,Environmental
91,,I worked on a 1000 piece puzzle.,Mental,,Mental,,Mental,
92,,Go to the gym.,Physical,Environmental,Physical,Environmental,Physical,Environmental
93,,I took a 20 minutes nap to relax.,Physical,,Physical,,Physical,
94,,I took a walk around my apartment with my roommate.,Physical,Community,Physical,Community,Physical,Community
95,,I went to the gym and took my car to the shop. ,Physical,Environmental,Physical,Envio,Physical,Environmental
96,,This week I made a puzzle with my friends and it was a nice way to relax and reset.,Mental,Community,Community,Mental,Community,Mental
97,,This week a couple of my classmates had dinner and bonded over school work and other activities. It was very relaxing just spend time outside of a classroom and get to understand each other’s goals in life.,Community,Physical,Community,Spiritual,Community,Occupational
98,,I watched an episode of a tv show!,Mental,,Mental,,Mental,
99,,I did a 30 minutes workout at home.,Physical,,Physical,,Physical,
100,,"Today I spent my self care time with friends. We gathered and ate outside, they gave me a lot of positive energy and motivation to study for my midterm on Friday.",Community,Physical,Community,,Community,Environmental
101,,I went out with friends for dinner and spent the evening relaxing. ,Community,Physical,Community,Mental,Community,Physical
102,,"This week, as a support for my wellbeing, I spent some time to order a dress for my birthday.",Mental,,Mental,,Mental,
103,,I took a nap,Physical,,Physical,,Physical,
104,,I went grocery shopping with my girlfriend,Mental,Community,Community,Environmental,Community,Environmental
105,,I took a half hour walk to Gas Works Park,Physical,Environmental,Environmental,Physical,Physical,Environmental
106,,This week for self care I worked on developing resistance coping skills for a growth mindset by meeting with a UW graduate student coach through the academic success program for advice on how to study efficiently and prioritize deadlines in the pharmacy program. ,Occupational,,Mental,Occupational,Emotional,Occupational
107,,Went to get breakfast and relax in the morning before class,Physical,Mental,Physical,Mental,Physical,Mental
108,,I took a nap ,Physical,,Physical,,Physical,
