Subj #,,Spr 7-8,JC (1) ,JC (2),BC (1) ,BC (2),Category 1,Category 2
36,,"Yesterday, I went down to the hub to play pool with some of the guys after skills lab. Although today started with raining sheets, I think I will go take a walk with the dog since it is sunny out! I will also do some mindfulness exercises before bed tonight to decompress from the past couple of weeks.",Environmental,Physical,Physical,Community,Physical,Community
37,,Pet and spent time with my doggies!,Mental,,Mental,,Mental,
38,,I took a nap today!,Physical,,Physical,,Physical,
39,,"Today, I just took some time to escape from my worries and stress about the exam tomorrow by sitting at my desk and watch some comedies to laugh my stress and worries away.",Mental,,Mental,,Mental,
40,,"This week I've decided to bake!  I took some time when I got home and baked some banana bread for my son to take home when he next visits.  It reminded me of all of the times when he was a little guy.  We used to love to bake together.  Chocolate chip was always the fave.  He had a special apron and a ""cookie dough"" bowl that we'd made together at Paint the Town.  He has always loved those memories- even now that he is a grown man- LOL.  Baking always recounts those wonderful years with my kids.  It was just what I needed this week.",Mental,Community,Mental,Community,Mental,Community
41,,I reflected on the things that have troubled my mind in the past few days.,Emotional,,Emotional,,Emotional,
42,,I went down to the gym to help relieve some stress from studying. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
43,,Did some gardening in the backyard for around 20 minutes.,Environmental,Mental,Environmental,Physical,Environmental,Mental
44,,Went to go pickup a new antidepressant prescription :'-) almost got in so many car accidents and running over pedestrians hopefully it works well ,Mental,,Mental,,Mental,
45,,I went to go see and spend time with my grandparents.  ,Community,,Community,,Community,
46,,I spent time cooking at home to take a break from studying to explore my culinary skills.,Mental,,Mental,,Mental,
47,,After class I went to get coffee and took a walk before I started studying!,Physical,,Physical,,Physical,
48,,[emoji of hot coffee],Physical,,Physical,,Physical,
49,,I took a 30-minute nap!,Physical,,Physical,,Physical,
50,,I went to Kelsey Creek Farm over the weekend. I spent some time FaceTiming my mom on Mother's Day. I worked out at the IMA with my friends last Friday.,Environmental,Community,Physical,Community,Physical,Community
51,,Cooked dinner with my grandmother,Mental,Community,Physical,Community,Mental,Community
52,,Practiced piano.,Mental,,Emotional,Mental,Mental,
53,,"I was so happy last weekend because my boyfriend's family visited us from Vancouver, BC in order to attend my white coat ceremony last Friday. We took them around Seattle and visited the lighthouse park at Mukilteo. I was so glad since we had so much fun together and enjoyed good food as well. I feel so much re-energized to get ready with my finals :) [photos from top of Space Needle] [photo of Mukilteo lighthouse]",Community,Environmental,Community,Environmental,Community,Environmental
54,,I went out for a walk with my husband on campus and I showed him my humming bird that keeps its position on the top of a tree every time I pass by on my way to school. We gave it a name Marcello assuming it's a male. We also enjoyed plants and flowers on our way. It was a great time to connect with the beauty of the nature!,Community,Environmental,Environmental,Community,Community,Environmental
55,,I worked out for 30 minutes. ,Physical,,Physical,,Physical,
56,,Growth mindset - After performing poorly on a recent exam I reflected on how to motivate myself to do better and one way I did this was to improve my CV and apply to several new internship positions,Emotional,Occupational,Occupational,,Occupational,
57,,I took a nap. ,Physical,,Physical,,Physical,
58,,Watered my plants,Environmental,,Environmental,,Environmental,
59,,This week I made the step to go back to therapy and find a therapist. I have been feeling like I needed a therapist to start helping with my mental health. I had been having barriers due to wait times and insurance issues. I had my first couple of sessions and it has been really helpful to learn strategies to cope with my anxiety as it relates school and stress.,Emotional,,Mental,,Emotional,
60,,I have a therapy appointment at 3 pm.,Emotional,,Mental,,Emotional,
61,,Today I choose to do a 30 minute at home workout. I have been trying to keep a consistent workout schedule starting this week and so far it is going very well.,Physical,,Physical,,Physical,
62,,"I finally got to go to Costco. I have been needing to go forever and it was so nice to go with my boyfriend and finally get all of those things we've been needing (like, toilet paper). We got my dog wet food, and it was just really nice to give her some wet food in her slow feeder and see how much she enjoyed it. We've never given her that before so that was a fun little moment we got to have. :)",Environmental,Community,Environmental,Community,Environmental,Community
63,,I used the time in between my mentor groups to make lunch. There was this taco salad recipe I wanted to try out and I finally had the opportunity to make it!,Mental,,Mental,,Mental,
64,,"My fiancé and I started doing 30-minute workouts together, so we will be doing a 30-minute workout video later today. ",Community,Physical,Physical,Community,Physical,Community
65,,I spent an hour at the gym 3 days a week since last week. This helps reduce my stress and refresh my mind for my upcoming Medchem exam this Friday. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
66,,"This week, I went to gas works park with a friend to enjoy the sun",Environmental,Community,Environmental,Community,Environmental,Community
67,,I went to the movie and watched the new Dr. Strange movie with my friends,Mental,Community,Mental,Community,Mental,Community
68,,I made tuna onigiri (rice balls) and had a picnic with a friend at Bellevue Park.,Mental,Environmental,Environmental,Community,Mental,Environmental
69,,I went for a run with my dad in the neighborhood. It was really sunny and I enjoyed the spring view. ,Physical,Community,Environmental,Community,Environmental,Community
70,,It’s been awhile since I last journaled so I did a new journal entry and wrote about some positive things that happened within the past few weeks.,Emotional,,Emotional,,Emotional,
71,,Slept in and went grocery shopping,Physical,Environmental,Physical,Environmental,Physical,Environmental
72,,I called my mom and sister for a chat and got to sleep an extra two hours to recharge. ,Community,Physical,Community,Physical,Community,Physical
73,,Made honey garlic salmon for dinner.,Mental,,Physical,,Mental,
74,,I went for a walk around Ravenna park. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
75,,I walked to my favorite bubble tea shop and bought a bubble tea ,Physical,Environmental,Physical,Environmental,Physical,Environmental
76,,I worked out in the gym. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
77,,I went on run outside.,Physical,Environmental,Physical,Environmental,Physical,Environmental
78,,"I cooked broken rice, a Vietnamese dish. I have been craving the food for a while. So, it felt great to get to make and enjoy the food.",Mental,Physical,Physical,Mental,Mental,Physical
79,,I went for a walk to Safeway to buy snacks,Physical,Environmental,Physical,Environmental,Physical,Environmental
80,,Enjoyed the sunshine and spent some time at the park with my daughter. ,Environmental,Community,Environmental,Community,Environmental,Community
81,,I plan on listening to an ologies (Ali Ward) podcast episode this Wednesday.  ,Mental,,Mental,,Mental,
82,,n/a,,,,,,
83,,"For my self care, I worked out biceps and back at the gym with [a classmate]!",Physical,Environmental,Physical,Community,Physical,Community
84,,"I am physically tired, I’ve had an eventful week. I’ve decided to take a nap today. I rarely take naps but I’m so tired I’m going to treat myself to some extra shut eye. Goodnight! ",Physical,,Physical,,Physical,
85,,"I took a nap after class that admittedly was much longer than intended, as is evidenced by the time of the submission ",Physical,,Physical,,Physical,
86,,For my health wellness self-care activity this week I had allowed myself to sleep in on Sunday morning. When we had midterms during the week I find it hard to take time to sleep. I was really drained after midterms. Fridays I work 6-9 pm and Saturdays I work at 8:45 am so it's difficult to find time to rest after midterms. Sunday I finally got some needed rest!,Physical,,Physical,,Physical,
87,,Today for my Health wellness and self-care I am going shopping to find my White Coat ceremony outfit and also playing water balloon dodgeball with some friends. I made sure to get ahead on my homework/studying so I could be fully available to do these things. :),Mental,Community,Occupational,Mental,Mental,Community
88,,I am going to the Ballard locks with my roommates because it is my happy place:),Environmental,Community,Environmental,Community,Environmental,Community
89,,I got my first gunpla to build and it’s super fun and relaxing to focus on following the instructions to build the figure,Mental,,Mental,,Mental,
90,,I spent 2 hours making wontons to destress myself from my busy schedule. Also got to use my new mini deep frier when cooking them wontons. [photo of uncooked wontons],Mental,,Mental,,Mental,
91,,I went for a walk outside to enjoy the sunshine!,Physical,Environmental,Environmental,Physical,Physical,Environmental
92,,I listened to music.,Emotional,,Emotional,,Emotional,
93,,I joined a study group to prepare the Friday exam. ,Occupational,Community,Occupational,Community,Occupational,Community
94,,took a walk outside with friends,Physical,Community,Physical,Community,Physical,Community
95,,I went grocery shopping and to the gym. ,Environmental,,Physical,Environmental,Environmental,
96,,[photo of student at rock climbing gym],Physical,Environmental,Physical,Environmental,Physical,Environmental
97,,Something I decided to do was to start a new show on Netflix. With finals coming up soon I though it would be nice to have a nice day to myself.,Mental,,Mental,,Mental,
98,,Spend time with family ,Community,,Community,,Community,
99,,"I am gardening my roses and strawberries during this sunny week! I planted five bulbs of strawberries last fall and now they started to bear little fruit! This time, I might plan to make something cover around the strawberries since the birds eaten most of my strawberries last year. ",Environmental,,Environmental,Mental,Environmental,Mental
100,,I used the remaining class time to practice for my job interview that was at 2:30 PM,Occupational,,Occupational,,Occupational,
101,,I spend some time watching a Netflix movie last night to help me destress. ,Mental,,Mental,,Mental,
102,,"I am looking forward to our white coat ceremony, inviting some people to attend",Community,,Occupational,Community,Community,
103,,I took a nap,Physical,,Physical,,Physical,
104,,I went to U Village for lunch!,Environmental,Physical,Environmental,Physical,Environmental,Physical
105,,Jogged outside to gas works park for half an hour,Physical,Environmental,Physical,Environmental,Physical,Environmental
106,,This week for health and wellness I learned about and practiced different breathing exercises to build resilience coping skills for stress and burnout.,Physical,,Emotional,Physical,Physical,
107,,Took a breather to do things for myself like watch a video after only studying or work for the last few days after i had food poisoning.,Mental,,Mental,Occupational,Mental,Occupational
108,,I finally got a membership and wandered around Costco for a while ,Environmental,,Environmental,,Environmental,
