Subj #,,Win 1_2,JC (1),JC (2) ,BC (1) ,BC (2) ,Category 1,Category 2
34,,I took a walk with my husband and our dog in our neighborhood after class yesterday,Physical,Community,Physical,Community,Physical,Community
35,,"I recently got a food delivery subscription from EveryPlate to encourage myself to learn to cook and use it as an outlet to fully disconnect from school and other stressors while I am focused on recreating a recipe. Last night, I cooked mushroom and thyme risotto and it was my first time attempting to make risotto, one of my favorite meals.",Mental,Physical,Physical,,Mental,Physical
36,,I made a yummy Thai dish with my wife yesterday evening. We cooked Khao Soi soup with chicken meatballs.,Physical,Community,Physical,Community,Physical,Community
37,,I spent an hour writing my novel. ,Mental,,Mental,,Mental,
38,,I went on a short run and then took a 90 minute nap yesterday. ,Physical,,Physical,,Physical,
39,,"I closed my eyes for 10 minutes and exercised for the other 10 minutes, and afterwards I felt rejuvenated physically and mentally.",Physical,Mental,Physical,,Physical,Mental
40,,"For my activity this week, I have chosen to listen to tree.fm for 30 minutes.  Having an opportunity to listen to nature is calming and I enjoyed it.  I completed this activity and spent 30 minutes on 1/12/22.  ",Emotional,,Mental,,Emotional,
41,,I took a powerful 20 minutes nap.,Physical,,Physical,,Physical,
42,,I went to the gym and did 40 minutes of cardio activities with one of my good friends.,Physical,Community,Physical,,Physical,Community
43,,I did physical exercise for 25 minutes at home.,Physical,,Physical,,Physical,
44,,I meal planned! Excited to eat some yummy meals soon :-) ,Physical,,Physical,,Physical,
45,,I went to my apartment building gym and worked out for an hour. It felt so good to sweat and get out of my room into a different space where I'm not looking into a screen all day.,Physical,Environmental,Physical,Environmental,Physical,Emotional
46,,Social Connectedness - I had lunch with a friend and talked about our hobbies and work experiences as well as how we are doing so far.,Community,Occupational,Community,,Community,Occupational
47,,I spent my time Facetiming my family in California.,Community,,Community,,Community,
48,,I took a 45 minutes nap.,Physical,,Physical,,Physical,
49,,I took a 30-minute nap. I felt recharged!,Physical,,Physical,,Physical,
50,,"I cooked a meal while listening to some relaxing music, mostly jazz piano music on Youtube. I went swimming with my friend at pavilion pool once a week last quarter and I plan on continue this quarter too. I did yoga at home and took a nap if I got too overwhelmed with the workloads. ",Physical,Emotional,Physical,Emotional,Physical,Emotional
51,,Physical-I worked out at the gym,Physical,Environmental,Physical,,Physical,Environmental
52,,I went on a 1-mile run along the Ravenna park loop trail. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
53,,I woke up early this morning and went to yoga before classes started I made myself homemade egg tarts and had them with my favorite rose tea I took a nap after a long day of three classes,Spiritual,Physical,Physical,,Spiritual,Physical
54,,I took a nap.,Physical,,Physical,,Physical,
55,,I called my friend on FT to talk about classes and relax. It was nice because I haven't seen her since winter break and I miss her a lot. ,Community,,Community,,Community,
56,,Social connectedness - meeting an online friend for the first time for dinner,Community,Physical,Community,,Community,Physical
57,,I spent my time listening to relaxing music while doing diamond painting. ,Emotional,Mental,Mental,,Emotional,Mental
58,,I took care of my orchids that I flew all the way from Seattle (and plan on flying back with me!). ,Mental,,Mental,,Mental,
59,,"This past weekend I spent a couple of hours enjoying the sunshine and going on a solo hike. I was feeling very overwhelmed after the first week of the quarter, but I realized that is all the more reason to take some time to do what I enjoy and take a break from school. I felt much better after, and was able to focus better when I resumed school work. Spending time by myself in nature always helps to reset my mental state and brings me happiness. ",Physical,Environmental,Physical,Environmental,Physical,Environmental
60,,I spent my time taking a nap as a part of my health and wellness.,Physical,,Physical,,Physical,
61,,"Today I chose to rest/relax by taking a nap. This activity resonated with me the most because I have not been sleeping as much as I should. I have also been going to sleep very late. I took a 30 minute nap after Pharmacy 512 PR concluded. When I woke up, I felt very refreshed.",Physical,,Physical,,Physical,
62,,"Today for some self care, I did some rest and relaxation. I played myself some music and folded 2 loads of laundry, a task I tend to let pile up, literally. I find the neat, nice stacks of clothes very satisfying. I just don't get the time to fold the clothes and sort them out as often anymore, so I feel relaxed and productive! :)",Emotional,Mental,Mental,,Emotional,Mental
63,,I choose to do an activity that falls under rest/relax. I applied a salicylic acid face mask and watched my favorite tv show without any distractions which helped me relax. ,Mental,,Mental,,Mental,
64,,Today I worked on my occupational wellness and spent 20 minutes (and will continue to spend some more time) working on some other coursework to catch up on so I do not feel like I am falling behind. I will continue to be working on other coursework to catch up on my classwork to help my occupational wellness and then take a short break to take a walk and watch a show before continuing in my studies. ,Occupational,Physical,Occupational,,Occupational,Physical
65,,"To prepare for this quarter, I wanted to make sure I was healthy both mentally and physically. Unfortunately, I am still dealing with a thyroid issue that has caused problems all over my body. I get exhausted too easily now and I am tired all the time. The constant fear of COVID means mentally I am nowhere near ready, anytime I come home from being outside there is always a fear that I have caught it. I am starting to speak up a little more in class which is what I really wanted to get out of this quarter. Speaking just helps me become more comfortable in my future work environments. Hopefully, as I heal up, I can get on a regular schedule of sleep and studying but for now, I feel like I am already behind.",?,,Physical,Mental,Physical,Mental
66,,"I walked around Home Goods, it was very therapeutic :)",Physical,Environmental,Environmental,,Physical,Environmental
67,,I met a friend for lunch and catch up on our Winter quarter plans.,Physical,Community,Community,,Physical,Community
68,,I Facetimed a friend for an hour.,Community,,Community,,Community,
69,,I took a walk with my dad around a small park next to my neighborhood. ,Physical,Community,Physical,Environmental,Physical,Community
70,,"I've recently gotten into a new hobby that allows me explore my creativity and is very therapeutic for me! Not sure if you guys have heard it or seen it before, but its called toploader deco, where you just decorate a toploader using whatever stickers you have around. People usually use it to protect their polaroids/photocards and display them, but recently I've seen people use it for their vaccination cards too! I've attached a photo of some that I have made in the past few days/weeks.",Mental,,Mental,,Mental,
71,,Had a meal without any electronics so that I could be more present in the moment,Physical,,Mental,,Mental,
72,,I called my mom. ,Community,,Community,,Community,
73,,Spent 20 minutes doing stretches.  ,Physical,,Physical,,Physical,
74,,"For about 30 minutes earlier, I taught myself part of a dance I have been wanting to learn for a while. So far I have learned the first half of it. I wish to learn the rest of it later this week. I really enjoyed learning the dance. It made me very happy and reminded me how much I have missed dancing. ",Physical,,Physical,Mental,Physical,Mental
75,,I did 30 minutes of yoga after I got home from work and before I started working on homework to decompress. ,Spiritual,,Physical,Spiritual,Spiritual,Occupational
76,,I made tuna casserole and ate it for lunch.  ,Physical,,Physical,,Physical,
77,,I made a meal and chatted with a friend ,Physical,Community,Physical,Community,Community,
78,,"I took time to make myself a cup of hot tea and watered my plants. Spending time for myself and taking care of my plants gave me the peace of mind. So, I felt less overwhelmed with the new quarter’s schedules.",Physical,Environmental,Mental,,Physical,Environmental
79,,I met up with  4 friends to play board games.,Community,Mental,Community,,Community,Mental
80,,I spent an thirty minutes of self-care going on a walk.,Physical,,Physical,,Physical,
81,,I talked on the phone with my fiancé for 43 minutes,Community,,Community,,Community,
82,,I went to the gym and worked out. Then I stretched for a bit and meditated. ,Physical,Environmental,Physical,Spiritual,Physical,Spiritual
83,,"For my activity, I decided to do some physical activity and go play basketball at the IMA with some of my pharmacy friends.",Physical,Community,Physical,Community,Physical,Community
84,,"My sleeping schedule has been off for the last few weeks and I haven't been getting enough sleep. After awhile it starts to take a toll on you physically, mentally and emotionally. I know we were suppose to spend 20 minutes on our chosen activity but I actually took a 2 hour nap randomly yesterday and it was the best nap I've ever had in my life. It felt like a reset and I woke up full of energy. ",Physical,,Physical,,Physical,
85,,I spent my time this week going for a run through Volunteer Park.,Physical,Environmental,Physical,Environmental,Physical,Environmental
86,,The other day one of my best friends and I went on a hike at Heather Lake. It was hard to go outside and take time for myself because I feel like a failure whenever I think of doing something for myself during school. My friend encouraged me and I did not regret going one bit. ,Physical,Community,Physical,Community,Physical,Community
87,,For my self-care today I took a nice warm shower and an hour and a half nap (1 REM cycle). I normally don't take naps but getting back to school and jumping right in has made me physically and mentally exhausted so a nap helped a lot. :),Physical,,Physical,,Physical,
88,,I took a nap and later attended Daily Mass at my church.,Physical,Spiritual,Physical,Spiritual,Physical,Spiritual
89,,"I took a walk from my apartment over to uvillage after class yesterday, then walked around uvillage and looked at the different shops! It was pretty nice and (relatively) warm outside so I had a good time.",Physical,Environmental,Physical,Environmental,Physical,Environmental
90,,I chose to connect to the environment today and I made it better by playing Pokemon Go as I taking my walk to my neighborhood. I moved to this area last year but never gotten a chance to do it so I find this assignment is a good opportunity. ,Environmental,Physical,Environmental,Physical,Environmental,Physical
91,,I found a few songs that I want to learn how to play on the guitar!,Mental,,Emotional,Mental,Mental,
92,,I listened to music.,Emotional,,Emotional,,Emotional,
93,,I reached out to a friend planning how we can help each other this quarter.,Community,Occupational,Community,Occupational,Community,Occupational
94,,"To relax and clear my mind from upcoming quizzes and exams, I did yoga for 20 minutes. Before entering the pharmacy program, I always did some exercise, and I missed doing it. It was nice to get up and stretch my body after zoom classes, and I hope to continue doing this.",Spiritual,Physical,Physical,Spiritual,Physical,Spiritual
95,,I went to the gym and read a book I've been wanting to read for a long time. ,Physical,Mental,Physical,Mental,Physical,Mental
96,,Create: My goal is to make at least one meal a day (leftovers do not count and so I can only have leftovers 2/3 meals). Today I made poblano and black bean quesadillas with sour cream and lime sauce for lunch. ,Mental,Physical,Physical,,Mental,Physical
97,,"An activity I actually did for about an hour was get back into drawing. I haven’t done it in awhile and I remembered that for me drawing was somewhat comforting and put my mind at ease. I was almost a way for me to get connected with myself and remember to not put too much pressure on myself and enjoy the process! The picture I drew was a tiger, one of my favorite animals.",Mental,Emotional,Mental,,Mental,Emotional
98,,I went to go bouldering at a new place,Physical,Environmental,Physical,Environmental,Physical,Environmental
99,,I took a walk in my neighborhood for an hour. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
100,,"Working out helps me to recharge mentally and physically. On Wednesday the 5th, I choice to work out at home for 45 minutes.",Physical,Mental,Physical,,Physical,Mental
101,,I spent 40 mins cleaning my study space. I also did laundry and folded my clothes. ,Mental,Environmental,Environmental,,Mental,Environmental
102,,"I try to take a time off from everything related to work and studying and my favorite thing to do is watch that series, it is not in English, but I feel it helps me a lot, I feel as if I am living with them in their daily life because simply it is all about Egyptian family daily life and different situations they face throughout the day. Another thing I like to do when I feel stressed or want to take a break is to watch or listen something spiritual that helps a lot and relieves the stress.",Mental,,Mental,Spiritual,Mental,Spiritual
103,,I took a nap for an hour while listening to some R&B music,Physical,Emotional,Physical,Emotional,Physical,Emotional
104,,I worked out arms and core for 30 minutes,Physical,,Physical,,Physical,
105,,I chose to participate in social connectedness for this wellness activity. I spoke on the phone with a loved one for 40 minutes about how I have been feeling about pharmacy school. ,Community,,Community,,Community,
106,,I played fetch with my dogs and gave both of them a bath. This helps them to relax which helps me relax.,Physical,Emotional,Emotional,,Physical,Emotional
107,,I took a walk to get coffee and enjoyed the coffee slowly while sitting and relaxing.,Physical,Environmental,Physical,Mental,Physical,Mental
108,,"I spent my 20 minutes relaxing by reading my book, The Invisible Life of Addie Larue. ",Mental,,Mental,,Mental,
