Subj #,,Win 5_6,JC (1) ,JC (2),BC (1),BC (2),Category 1,Category 2
31,,"I like to spend few minutes calming myself down after taking therapeutic quiz. I was walking on the way home, and it was such a good opportunity for me to reflect myself. It was such a therapeutic to clear my mind and force me to enjoy the weather, the wind, the street, the random people walking. Suddenly, I feel so blessed. I feel blessed that I’m still breathing normally. I feel myself privileged to have a healthy body that I can use for school and work. And I had so many questions came up. How do I see the world when I’m no longer connected? How does the world see me? Then comes the biggest lesson: how the world sees me is how I see myself. And here I am… flawed, out of focus, waiting to be colored all over. As long as there’s light, I want to reflect.",Physical,Emotional,Mental,Spiritual,Physical,Emotional
32,,I went to my friends house for dinner and spent 2 hours of enjoying their company.,Community,Physical,Community,Environmental,Community,Physical
33,,I have met my best friend's mom for the first time. We had dinner at home. My mom made Turkish tea and some yummy desserts. ,Community,Physical,Community,Physical,Community,Physical
34,,I spent last weekend watching Jurassic Park with my family,Mental,Community,Community,Mental,Community,Mental
35,,I went for a drive and listened to relaxing music.,Environmental,Emotional,Physical,Emotional,Environmental,Emotional
36,,"I caught up with a couple of friends, who I have not spent time with for a while. We played pool and had drinks. We were able to deepen our friendship and understand each other better. It felt nice to feel connected to people.",Community,Physical,Community,,Community,Physical
37,,Had lunch with my mentor for 30 minutes.,Physical,Community,Community,Physical,Physical,Community
38,,I went on a walk and listened to a podcast!,Physical,Mental,Physical,Mental,Physical,Mental
39,,"Today I tried to draw an anime character for 20 minutes. Even though the end result was not to my liking, but it was something to get my mind off of school at least.",Mental,,Mental,,Mental,
40,,"This week for my Health Wellness Self Care choice, I decided to work on mindfulness.  I have a breathing app on my watch, so I used it to focus on my breathing for 15 minutes.  It was actually wonderful just checking in with myself in this regard.  After 15 minutes, I felt relaxed and refreshed!  I'll have to try that again on a day that I may be feeling anxious about work or school.",Emotional,,Physical,Mental,Physical,Mental
41,,I texted my best friend.,Community,,Community,,Community,
42,,"I decided to listen to some new music. Personally I liked on the The Weeknd's new song called Gasoline. Would put that song into the synth pop genre. Reminded me a lot of When in Rome's- The Promise. In addition, I also enjoyed the Mon Amour-Remix, however, my Spanish is not up to par to translate it or sing it.  ",Emotional,,Emotional,,Emotional ,
43,,I went to Micheals to buy painting supplies. ,Mental,,Environmental,Mental,Environmental,Mental
44,,guided meditation for 20 minutes! felt recentered and rejuvinated ,Spiritual,,Spiritual,,Spiritual,
45,,I went out to dinner with some of my classmates. It was a lot of fun to see each other outside of class and talk about things other than school.,Physical,Community,Community,Environmental,Community,Environmental
46,,Nurture connection - I spent time and ate out with my friends and talked about our career goals.,Physical,Community,Community,Occupational,Community,Occupational
47,,I took a 30 minute walk through campus.,Physical,Environmental,Physical,Environmental,Physical,Environmental
48,,I made Lemmon pepper wings and salad,Mental,,Physical,,Mental,
49,,I went on a 30-minute walk to get some fresh air.,Physical,Environmental,Physical,Environmental,Physical,Environmental
50,,I took a walk at Green Lake Park last Sunday morning; I did yoga at least 20 minutes three times a week; I watched a movie called Zero to Hero on Friday night.,Physical,Environmental,Physical,Spiritual,Physical,Spiritual
51,,Went on a run with a friend to catch up.,Physical,Community,Physical,Community,Physical,Community
52,,I spent 45 minutes reading my book.,Mental,,Mental,,Mental,
53,,"Last weekend, my boyfriend and I went back to visit his family in Vancouver, Canada to celebrate the lunar new year. We had a great time spending together with the family, had a lot of traditional homemade food and gathered to play cards which is usually a tradition to us. Although it was just a short weekend coming home, I really felt happy and relaxed after a long week of school and work!",Community,Environmental,Community,,Community,Environmental
54,,"I talked with my family in Korea via Skype since they all got together for the New Year's Day. It was great to see all my family members at the same time, talk about how things going, and get emotional support from them. ",Community,,Community,,Community,
55,,I slept and watched a kdrama. ,Physical,,Physical,Mental,Physical,Mental
56,,connect to environment: walking at the park outside,Environmental,Physical,Environmental,Physical,Environmental,Physical
57,,I rearranged night table and desk.  ,Mental,,Environmental,,Environmental,
58,,I took a nap w/ my cat,Physical,,Physical,,Physical,
59,,This week I reached out to a friend I haven't seen in a while due to our busy schedules. It felt good to be able to plan a time to see each other and it was great way to de-stress from school. I hadn't realized how isolated I have been feeling until after I saw my friend and felt much less stressed and overwhelmed. ,Community,Mental,Community,,Community,Mental
60,,I will take a 20-minute nap.,Physical,,Physical,,Physical,
61,,Today I chose to rest and relax by discovering and listening to new music!,Mental,Emotional,Emotional,Mental,Mental,Emotional
62,,"Something I did this weekend was go to a friend's home for a game night. I don't get the chance to see my friends as often as I would like to anymore and usually I only see the same group of friends. So it was nice to spend some time this weekend and go to a new home and play some new games with my friends. We played games like Codenames and Exploding Kittens, which are great team games I don't normally get to play with just my boyfriend. It was a lot of fun and getting to sleep in the next morning was a huge bonus too. ",Mental,Community,Community,,Mental,Community
63,,I took a walk to target and bought my favorite candy ( watermelon sour patch kids). ,Physical,Environmental,Physical,,Physical,Environmental
64,,"This week I am working on my social connectedness. I have been spending my personal time working on some organization and planning for my wedding, as it is hard to find time to sit down and work on things. What I have been doing is getting in touch with distant family and friends I haven't spoken to in a while, and it has been really nice to catch up with people in my life that I love and talk about this exciting day coming up in my life and tell them how much it means to have them there. ",Community,,Community,,Community,
65,,"Last week I really needed a chance to exercise and clear my brain. Unfortunately, I was still feeling sick from the week before. Therefore, the only choice I had was to rest/relax. I didn’t do as well as I would have liked on the 531 test and it has mentally affected me. I am already starting to worry about the rest of Pharmacy School, but I know it is going to be a step-by-step approach. Last weeks naps were not great because every nap meant less time studying and it really did not relax me. I hope by next journal I can figure out a way to relieve stress.",Mental,,Physical,,Mental,
66,,I listened to music and cleaned,Emotional,Mental,Emotional,Environmental,Emotional ,Environmental
67,,I just picked up a new hobby of tending to house plants and it was very therapeutic to water them and nurture them every day. My favorite leisure activity recently has been going to a plant shop and choosing some new plants for my collection.,Mental,,Mental,,Mental,
68,,"I cleaned around my apartment, did laundry, and cooked for myself.",Environmental,Physical,Environmental,Physical,Environmental,Physical
69,,I cooked dinner for my dad and two of my friends. I made fried rice. ,Mental,Community,Physical,,Mental,Community
70,,I was having really bad headaches while studying for exams so I treated myself to small naps in between study sessions throughout the week.,Physical,,Physical,,Physical,
71,,Spent time at a friend's family house for New Years and had a home cooked meal for the first time in months!,Community,Physical,Community,Physical,Community,Physical
72,,I listened to my favorite podcast on my commute ,Mental,,Mental,,Mental,
73,,I made food with my brother,Mental,Community,Community,Physical,Mental,Community
74,,Today I went to QFC and bought a couple succulents for my place and then decorated where I keep all the plants with sparkly lights. ,Mental,Environmental,Environmental,Mental,Mental,Environmental
75,,This week I needed a lot of grace so for my mental health activity I let myself just lay down and feel whatever came up without thinking about what I needed to do next or feeling guilty about it and wrote it down. ,Emotional,,Mental,Emotional,Emotional ,
76,,I exercised for 20 minutes (HIIT workout). ,Physical,,Physical,,Physical,
77,,I practice yoga and did some other exercises.,Spiritual,Physical,Physical,Spiritual,Spiritual,Physical
78,,I took 2 hours off to drink milk tea and binge watch a Netflix show that I have always wanted to see,Mental,Physical,Physical,,Physical,Mental
79,,I am having dinner with a couple of friends on Friday night and do gift exchange,Physical,Community,Community,Physical,Community,
80,,"In the spirit of being transparent I have not really had any spare time for self- care, even with the dedicated time from class. Unfortunately any spare time I have had recently has gone towards school work or work related activities. Therefore, even going on a walk before dusk has been difficult to squeeze in. I was able to sleep for a continuous 8 hours for the first time in weeks yesterday, so I hope that qualifies as self care :)",Physical,,Physical,Occupational,Physical,
81,,-Made vegetable soup with my family,Mental,Community,Community,Physical,Mental,Community
82,,Wrote a short diary. Note to myself for the day to get all of my thoughts on paper.,Emotional,,Emotional,,Emotional ,
83,,"For my activity, I watched the tv series Mindhunter with my girlfriend!",Mental,Community,Mental,Community,Mental,Community
84,,"During that week, I was feeling a bit under the weather, so I decided to take a short walk around my neighborhood just to get some fresh are and clear my mind. It was a good walk, and it was also a walk down memory lane because I walked by my old elementary school, and I seen some kids playing in the playground (must've been recess) and I remember when that use to be me not long ago. It was refreshing and also a humbling experience. ",Physical,Environmental,Physical,Environmental,Physical,Environmental
85,,Spent this time cleaning my apartment to create a cleaner space for myself,Environmental,,Environmental,Mental,Environmental,
86,,"I was able to run at my high school's football stadium recently, where I used to run almost every day, and it was nice to reconnect because I used to have soccer games there, track meets there, and performed at half time with my high schools marching band during football games. ",Physical,Environmental,Physical,Environmental,Physical,Environmental
87,,"This week for my well-being self-care I scheduled a long-overdue appointment to get my lower legs sugared (waxed) as my self-care and it was very satisfying. I honestly think it feels like getting a massage which I am also long-overdue for haha. Getting a massage might be something to think about for spring break though, we'll see. ;)",Physical,,Physical,,Physical,
88,,I got drinks with a friend and caught up with her for a while.,Physical,Community,Community,,Physical,Community
89,,"I decorated my journal with stickers and tape and new pens that I got, and I wrote for the first time in a while!",Emotional,,Mental,,Emotional ,
90,,"I went out for a drink after exam, and realizing we have more exam. ",Physical,,Mental,,Physical,
91,,I made a fancy breakfast.,Mental,,Physical,,Mental,
92,,Go to the gym.,Physical,Environmental,Physical,Environmental,Physical,Environmental
93,,I cooked a meal for dinner.,Mental,,Physical,,Mental,
94,,"For my self-care, I took a nap for 30 mins. ",Physical,,Physical,,Physical,
95,,I went to the gym and had dinner with my friends. ,Physical,Community,Physical,Community,Physical,Community
96,,"This week I spent 20 minutes grocery shopping for a Lunar New Year dumpling making celebration I will host with 3 friends on Friday. We will be making dumplings, but it was nice to take time to aimlessly wander the grocery store and plan out the menu in the store versus planning too far ahead early. ",Mental,Community,Physical,Environmental,Mental,Environmental
97,,This week I wanted to note how I went to the IMA to practice a little for basketball. I recently joined an inter mural basketball team with a couple of other pharmacy students and we all decided to shoot some hoops. This was very nice as it allowed me to focus on my physical as well as emotional health.,Physical,Community,Physical,Community,Physical,Community
98,,I read a book,Mental,,Mental,,Mental,
99,,I went to a walk around the neighborhood with parents daily. ,Physical,Community,Environmental,Community,Physical,Community
100,,"I have a big midterm on Friday and been working hard to prepare for it. So, during this time I enjoyed taking a nap to recharge and resume studying. ",Physical,,Physical,,Physical,
101,,I spend some time with family. ,Community,,Community,,Community,
102,,"This week I called a friend whim we haven’t talked for a long time, and I spent sometime to meditate.",Community,Spiritual,Community,Spiritual,Community,Spiritual
103,,I took a nap,Physical,,Physical,,Physical,
104,,I talked to my parents on the phone!,Community,,Community,,Community,
105,,This weeks I did about 22 minutes of self-connectedness by journaling in the form of a self-recorded video.,Emotional,,Emotional,,Emotional ,
106,,For self care this week I baked some cookies because baking helps me to de-dress.,Mental,,Mental,,Mental,
107,,Hung out with a friend at the end of the day and catch up with them.,Community,,Community,,Community,
108,,I started a new book,Mental,,Mental,,Mental,
